base_lf1, lf1_lf2, lf2_lf3, base_rf1, rf1_rf2, rf2_rf3, base_rb1, rb1_rb2, rb2_rb3, base_lb1, lb1_lb2, lb2_lb3
-0.14685, 0.92491, -1.58007, -0.01216, 1.27331, -1.40696, -0.09870, 0.95939, -2.62202, -0.14285, 0.94592, -2.58562
-0.14677, 0.91951, -1.56875, -0.01426, 1.27218, -1.40967, -0.09649, 0.95997, -2.62057, -0.14454, 0.94649, -2.58481
-0.14617, 0.91476, -1.55748, -0.01627, 1.27116, -1.41234, -0.09279, 0.96040, -2.61871, -0.14604, 0.94710, -2.58405
-0.14436, 0.91054, -1.54655, -0.01797, 1.27023, -1.41490, -0.08824, 0.96057, -2.61659, -0.14708, 0.94777, -2.58340
-0.14135, 0.90678, -1.53616, -0.01951, 1.26939, -1.41736, -0.08350, 0.96047, -2.61421, -0.14764, 0.94848, -2.58277
-0.13844, 0.90359, -1.52601, -0.02105, 1.26865, -1.41983, -0.07881, 0.96015, -2.61188, -0.14799, 0.94923, -2.58233
-0.13683, 0.90110, -1.51603, -0.02279, 1.26795, -1.42259, -0.07452, 0.95961, -2.60992, -0.14857, 0.94996, -2.58218
-0.13772, 0.89963, -1.50568, -0.02490, 1.26733, -1.42574, -0.07145, 0.95885, -2.60878, -0.14940, 0.95063, -2.58249
-0.14015, 0.89870, -1.49622, -0.02730, 1.26675, -1.42916, -0.06884, 0.95795, -2.60812, -0.15045, 0.95130, -2.58311
-0.14343, 0.89802, -1.48869, -0.02992, 1.26627, -1.43266, -0.06602, 0.95704, -2.60767, -0.15139, 0.95196, -2.58395
-0.14746, 0.89723, -1.48518, -0.03289, 1.26593, -1.43621, -0.06266, 0.95621, -2.60729, -0.15227, 0.95266, -2.58498
-0.15175, 0.89635, -1.48516, -0.03604, 1.26567, -1.43974, -0.05854, 0.95547, -2.60695, -0.15290, 0.95334, -2.58607
-0.15586, 0.89541, -1.48721, -0.03914, 1.26554, -1.44323, -0.05417, 0.95480, -2.60674, -0.15332, 0.95401, -2.58723
-0.15911, 0.89418, -1.49110, -0.04207, 1.26545, -1.44657, -0.04952, 0.95423, -2.60676, -0.15342, 0.95466, -2.58837
-0.16111, 0.89261, -1.49639, -0.04475, 1.26544, -1.44977, -0.04468, 0.95376, -2.60701, -0.15319, 0.95530, -2.58950
-0.16326, 0.89137, -1.50201, -0.04719, 1.26548, -1.45292, -0.03997, 0.95327, -2.60745, -0.15254, 0.95592, -2.59073
-0.16644, 0.89093, -1.50698, -0.04933, 1.26546, -1.45620, -0.03536, 0.95269, -2.60815, -0.15138, 0.95650, -2.59203
-0.17203, 0.89213, -1.50998, -0.05093, 1.26546, -1.45967, -0.03103, 0.95188, -2.60920, -0.14903, 0.95700, -2.59346
-0.17871, 0.89422, -1.51188, -0.05234, 1.26532, -1.46339, -0.02708, 0.95098, -2.61040, -0.14622, 0.95746, -2.59497
-0.18550, 0.89669, -1.51314, -0.05389, 1.26501, -1.46724, -0.02359, 0.95009, -2.61165, -0.14310, 0.95787, -2.59656
-0.19139, 0.89925, -1.51405, -0.05584, 1.26448, -1.47131, -0.02077, 0.94937, -2.61280, -0.13991, 0.95828, -2.59826
-0.19637, 0.90160, -1.51474, -0.05821, 1.26366, -1.47555, -0.01879, 0.94881, -2.61388, -0.13673, 0.95866, -2.59999
-0.20040, 0.90351, -1.51513, -0.06063, 1.26256, -1.47984, -0.01799, 0.94845, -2.61499, -0.13356, 0.95904, -2.60177
-0.20293, 0.90436, -1.51536, -0.06287, 1.26115, -1.48390, -0.01916, 0.94839, -2.61615, -0.13032, 0.95945, -2.60359
-0.20391, 0.90393, -1.51532, -0.06492, 1.25939, -1.48771, -0.02276, 0.94867, -2.61743, -0.12724, 0.95993, -2.60542
-0.20415, 0.90299, -1.51524, -0.06661, 1.25712, -1.49184, -0.02768, 0.94918, -2.61882, -0.12410, 0.96042, -2.60727
-0.20428, 0.90196, -1.51527, -0.06784, 1.25422, -1.49662, -0.03340, 0.94985, -2.62027, -0.12101, 0.96082, -2.60912
-0.20509, 0.90141, -1.51547, -0.06858, 1.25043, -1.50252, -0.03977, 0.95068, -2.62176, -0.11797, 0.96115, -2.61100
-0.20604, 0.90106, -1.51587, -0.06856, 1.24581, -1.50948, -0.04615, 0.95157, -2.62333, -0.11501, 0.96140, -2.61286
-0.20670, 0.90080, -1.51648, -0.06733, 1.24030, -1.51756, -0.05218, 0.95244, -2.62493, -0.11204, 0.96157, -2.61463
-0.20666, 0.90060, -1.51731, -0.06418, 1.23361, -1.52730, -0.05673, 0.95314, -2.62657, -0.10897, 0.96165, -2.61629
-0.20602, 0.90040, -1.51848, -0.05926, 1.22586, -1.53833, -0.06029, 0.95369, -2.62829, -0.10594, 0.96163, -2.61778
-0.20498, 0.90015, -1.51976, -0.05289, 1.21747, -1.54969, -0.06332, 0.95416, -2.62994, -0.10291, 0.96152, -2.61919
-0.20353, 0.89974, -1.52116, -0.04458, 1.20877, -1.56070, -0.06605, 0.95461, -2.63162, -0.09998, 0.96129, -2.62054
-0.20182, 0.89916, -1.52263, -0.03457, 1.19990, -1.57107, -0.06885, 0.95505, -2.63323, -0.09722, 0.96093, -2.62179
-0.19978, 0.89842, -1.52427, -0.02431, 1.19061, -1.58079, -0.07135, 0.95549, -2.63487, -0.09455, 0.96048, -2.62294
-0.19764, 0.89752, -1.52620, -0.01523, 1.18073, -1.58977, -0.07334, 0.95591, -2.63663, -0.09218, 0.95999, -2.62404
-0.19543, 0.89648, -1.52852, -0.00916, 1.17018, -1.59768, -0.07453, 0.95630, -2.63859, -0.09032, 0.95942, -2.62489
-0.19316, 0.89530, -1.53116, -0.00442, 1.15891, -1.60485, -0.07545, 0.95667, -2.64062, -0.08858, 0.95881, -2.62569
-0.19058, 0.89394, -1.53406, 0.00023, 1.14683, -1.61129, -0.07647, 0.95712, -2.64270, -0.08640, 0.95816, -2.62642
-0.18772, 0.89239, -1.53711, 0.00614, 1.13367, -1.61678, -0.07815, 0.95767, -2.64466, -0.08329, 0.95754, -2.62715
-0.18461, 0.89066, -1.54042, 0.01277, 1.11947, -1.62164, -0.08061, 0.95829, -2.64649, -0.07935, 0.95692, -2.62797
-0.18130, 0.88870, -1.54396, 0.01903, 1.10440, -1.62612, -0.08353, 0.95898, -2.64822, -0.07504, 0.95625, -2.62880
-0.17785, 0.88654, -1.54766, 0.02380, 1.08844, -1.63039, -0.08714, 0.95974, -2.64986, -0.07042, 0.95549, -2.62976
-0.17417, 0.88408, -1.55166, 0.02674, 1.07149, -1.63467, -0.09127, 0.96057, -2.65141, -0.06566, 0.95459, -2.63082
-0.17038, 0.88134, -1.55579, 0.02905, 1.05385, -1.63898, -0.09515, 0.96138, -2.65274, -0.06095, 0.95362, -2.63180
-0.16638, 0.87831, -1.56010, 0.03137, 1.03561, -1.64366, -0.09761, 0.96210, -2.65390, -0.05643, 0.95254, -2.63260
-0.16218, 0.87495, -1.56453, 0.03425, 1.01671, -1.64908, -0.09734, 0.96266, -2.65489, -0.05243, 0.95136, -2.63302
-0.15790, 0.87129, -1.56906, 0.03754, 0.99741, -1.65483, -0.09569, 0.96313, -2.65563, -0.04856, 0.95013, -2.63313
-0.15366, 0.86738, -1.57376, 0.04122, 0.97794, -1.66083, -0.09323, 0.96361, -2.65615, -0.04467, 0.94887, -2.63308
-0.14967, 0.86320, -1.57859, 0.04524, 0.95839, -1.66737, -0.09082, 0.96417, -2.65623, -0.04041, 0.94771, -2.63276
-0.14600, 0.85877, -1.58361, 0.04956, 0.93889, -1.67424, -0.08840, 0.96480, -2.65601, -0.03589, 0.94662, -2.63231
-0.14255, 0.85410, -1.58864, 0.05410, 0.91963, -1.68097, -0.08610, 0.96543, -2.65567, -0.03132, 0.94556, -2.63179
-0.13935, 0.84913, -1.59358, 0.05877, 0.90077, -1.68744, -0.08398, 0.96603, -2.65539, -0.02677, 0.94455, -2.63141
-0.13641, 0.84383, -1.59845, 0.06357, 0.88246, -1.69367, -0.08216, 0.96651, -2.65527, -0.02237, 0.94356, -2.63118
-0.13370, 0.83827, -1.60314, 0.06880, 0.86468, -1.69957, -0.08029, 0.96696, -2.65522, -0.01837, 0.94258, -2.63099
